time,passenger_id,request_id,rejected,reason,true_type,ptrue,rule_acc,wait_time,travel_time,fare
54.0,0,0,False,accept,0111,0.0625,0.5,62.0,91.0,0.918
54.0,2,2,False,accept,1011,0.0625,0.5,96.0,99.0,0.991
54.0,1,1,True,impatient,1011,0.115,0.605,148.0,145.0,1.45
174.0,3,3,False,accept,1110,0.0625,0.5,140.0,149.0,1.494
414.0,4,4,False,accept,1100,0.0625,0.5,55.0,172.0,1.729
534.0,5,5,False,accept,1011,0.0625,0.5,93.0,98.0,0.986
534.0,6,6,False,accept,0100,0.0625,0.5,95.0,114.0,1.145
654.0,7,7,True,impatient,1001,0.115,0.605,324.0,261.0,2.618
655.0,8,8,True,impatient,1011,0.115,0.605,148.0,97.0,0.973
774.0,9,9,False,accept,0001,0.0625,0.5,87.0,123.0,1.234
894.0,10,10,False,accept,1010,0.115,0.605,31.0,381.0,3.811
894.0,11,11,False,accept,1101,0.0625,0.5,41.0,60.0,0.603
1014.0,12,12,True,impatient,1000,0.115,0.605,100.0,74.0,0.744
1014.0,13,13,True,impatient,1101,0.115,0.605,164.0,114.0,1.141
1254.0,14,14,False,accept,0101,0.0625,0.5,20.0,93.0,0.939
1254.0,15,15,True,impatient,1010,0.115,0.605,75.0,53.0,0.532
1374.0,16,16,True,impatient,1101,0.115,0.605,149.0,111.0,1.119
1614.0,18,18,False,accept,1100,0.0625,0.5,44.0,107.0,1.072
1614.0,17,17,True,impatient,1000,0.08098591549295775,0.5,68.0,21.0,0.213
1614.0,19,19,False,accept,0000,0.0625,0.5,76.0,126.0,1.264
1854.0,21,21,False,accept,1001,0.0625,0.5,63.0,107.0,1.072
1854.0,20,20,True,delay_sensitive,0111,0.08098591549295775,0.5,107.0,50.0,0.507
1869.0,22,22,False,accept,0101,0.0625,0.5,44.0,228.0,2.281
1974.0,23,23,False,accept,1001,0.0625,0.5,0.0,102.0,1.029
2094.0,24,24,False,accept,1100,0.0625,0.5,25.0,173.0,1.739
2094.0,25,25,True,impatient,1001,0.115,0.605,98.0,73.0,0.734
2214.0,26,26,False,accept,1001,0.115,0.605,2.0,333.0,3.339
2454.0,28,28,False,accept,1001,0.0625,0.5,36.0,73.0,0.731
2454.0,27,27,False,accept,1100,0.0625,0.5,113.0,153.0,1.533
2694.0,30,30,False,accept,0001,0.0625,0.5,0.0,143.0,1.439
2694.0,29,29,False,accept,1010,0.0625,0.5,43.0,90.0,0.9
2814.0,32,32,True,impatient,1111,0.115,0.605,48.0,42.0,0.427
2814.0,31,31,True,impatient,1111,0.08098591549295775,0.573943661971831,138.0,17.0,0.179
3054.0,33,33,True,impatient,1111,0.08098591549295775,0.573943661971831,90.0,14.0,0.141
3054.0,34,34,True,impatient,1100,0.115,0.605,353.0,242.0,2.428
3174.0,35,35,False,accept,1100,0.0625,0.5,75.0,126.0,1.265
3429.0,36,36,True,delay_sensitive,0011,0.08098591549295775,0.5,257.0,127.0,1.277
3534.0,38,38,False,accept,0111,0.0625,0.5,17.0,134.0,1.343
3534.0,37,37,False,accept,1110,0.0625,0.5,119.0,124.0,1.241
3894.0,39,39,True,impatient,1001,0.08098591549295775,0.5,107.0,45.0,0.453
