time,passenger_id,request_id,rejected,reason,true_type,ptrue,rule_acc,wait_time,travel_time,fare
108.0,1,1,False,accept,1101,0.0625,0.5,43.0,69.0,0.697
108.0,0,0,False,accept,0110,0.115,0.605,98.0,88.0,0.883
228.0,2,2,False,accept,0110,0.0625,0.5,176.0,191.0,1.913
348.0,3,3,False,accept,1001,0.0625,0.5,102.0,153.0,1.535
468.0,5,5,False,accept,0111,0.115,0.605,135.0,129.0,1.291
468.0,4,4,True,delay_sensitive,0010,0.08098591549295775,0.5,258.0,69.0,0.694
602.0,6,6,True,impatient,1110,0.08098591549295775,0.573943661971831,179.0,67.0,0.679
708.0,7,7,False,accept,1011,0.0625,0.5,60.0,83.0,0.83
708.0,8,8,True,impatient,1001,0.08098591549295775,0.5,250.0,88.0,0.888
714.0,9,9,False,accept,1110,0.0625,0.5,5.0,202.0,2.022
828.0,12,12,False,accept,1010,0.0625,0.5,6.0,173.0,1.737
828.0,10,10,False,accept,0001,0.0625,0.5,131.0,144.0,1.443
948.0,11,11,False,accept,0011,0.0625,0.5,63.0,142.0,1.423
1068.0,13,13,False,accept,1100,0.0625,0.5,40.0,162.0,1.624
1308.0,15,15,False,accept,1111,0.0625,0.5,30.0,165.0,1.658
1308.0,14,14,False,accept,1011,0.0625,0.5,54.0,242.0,2.429
1428.0,16,16,False,accept,1000,0.0625,0.5,84.0,234.0,2.342
1548.0,17,17,True,delay_sensitive,0010,0.08098591549295775,0.5,198.0,57.0,0.575
1788.0,18,18,False,accept,0100,0.19827586206896555,0.6810344827586208,120.0,41.0,0.413
1908.0,19,19,False,accept,0100,0.0625,0.5,55.0,103.0,1.032
1908.0,20,20,True,impatient,1100,0.115,0.605,106.0,101.0,1.016
2160.0,21,21,False,accept,1100,0.0625,0.5,44.0,105.0,1.056
2268.0,22,22,False,accept,0010,0.0625,0.5,52.0,212.0,2.127
2388.0,23,23,False,accept,0100,0.0625,0.5,2.0,143.0,1.431
2628.0,24,24,True,price_sensitive,1111,0.115,0.605,89.0,314.0,3.148
2628.0,25,25,False,accept,1001,0.0625,0.5,119.0,143.0,1.431
2748.0,26,26,True,delay_sensitive,0110,0.08098591549295775,0.5,144.0,67.0,0.678
2748.0,27,27,False,accept,1100,0.0625,0.5,79.0,120.0,1.209
2868.0,28,28,False,accept,0010,0.0625,0.5,167.0,210.0,2.105
3108.0,31,31,False,accept,0001,0.115,0.605,145.0,106.0,1.062
3348.0,29,29,False,accept,0110,0.0625,0.5,165.0,238.0,2.384
3468.0,35,35,False,accept,0000,0.19827586206896555,0.6810344827586208,66.0,13.0,0.138
3588.0,32,32,False,accept,1010,0.0625,0.5,84.0,124.0,1.241
3828.0,33,33,False,accept,1111,0.0625,0.5,18.0,140.0,1.405
3948.0,34,34,False,accept,0011,0.0625,0.5,112.0,112.0,1.123
4068.0,39,39,False,accept,0111,0.115,0.605,147.0,102.0,1.025
