time,passenger_id,request_id,rejected,reason,true_type,ptrue,rule_acc,wait_time,travel_time,fare
46.0,0,0,False,accept,1000,0.0625,0.5,55.0,103.0,1.035
166.0,2,2,True,impatient,1110,0.115,0.605,87.0,81.0,0.812
166.0,1,1,False,accept,0001,0.0625,0.5,141.0,229.0,2.297
406.0,5,5,False,accept,0000,0.0625,0.5,14.0,70.0,0.703
406.0,4,4,False,accept,0001,0.115,0.605,19.0,319.0,3.199
406.0,3,3,False,accept,1100,0.0625,0.5,175.0,241.0,2.415
420.0,6,6,False,accept,0011,0.0625,0.5,64.0,207.0,2.071
526.0,7,7,False,accept,0100,0.0625,0.5,42.0,45.0,0.455
526.0,8,8,False,accept,0001,0.115,0.605,143.0,101.0,1.016
526.0,9,9,True,delay_sensitive,0010,0.08098591549295775,0.5,348.0,102.0,1.021
646.0,10,10,False,accept,1000,0.0625,0.5,193.0,196.0,1.968
1006.0,11,11,False,accept,1011,0.0625,0.5,90.0,154.0,1.547
1126.0,12,12,False,accept,0011,0.0625,0.5,63.0,159.0,1.592
1246.0,13,13,False,accept,1100,0.0625,0.5,53.0,164.0,1.642
1246.0,14,14,False,accept,1001,0.0625,0.5,75.0,270.0,2.708
1246.0,15,15,False,accept,1011,0.0625,0.5,87.0,93.0,0.937
1606.0,16,16,False,accept,0011,0.0625,0.5,76.0,131.0,1.313
1726.0,17,17,False,accept,0111,0.115,0.605,128.0,104.0,1.046
1846.0,19,19,False,accept,1100,0.0625,0.5,58.0,95.0,0.953
1846.0,18,18,False,accept,1110,0.0625,0.5,66.0,105.0,1.052
1847.0,20,20,False,accept,0001,0.19827586206896555,0.6810344827586208,324.0,98.0,0.988
2086.0,22,22,False,accept,0000,0.0625,0.5,72.0,149.0,1.496
2086.0,21,21,False,accept,1101,0.0625,0.5,92.0,108.0,1.084
2326.0,23,23,False,accept,1011,0.0625,0.5,187.0,191.0,1.919
2446.0,24,24,False,accept,1111,0.0625,0.5,29.0,240.0,2.4
2566.0,25,25,False,accept,0010,0.0625,0.5,71.0,89.0,0.897
2566.0,26,26,False,accept,0001,0.0625,0.5,81.0,150.0,1.5
2926.0,27,27,False,accept,0101,0.115,0.605,61.0,53.0,0.531
2926.0,29,29,False,accept,0110,0.0625,0.5,104.0,123.0,1.231
3166.0,30,30,False,accept,0010,0.115,0.605,87.0,57.0,0.575
3286.0,31,31,False,accept,0010,0.0625,0.5,125.0,135.0,1.357
3406.0,34,34,False,accept,1111,0.0625,0.5,117.0,270.0,2.709
3646.0,39,39,True,impatient,1110,0.08098591549295775,0.573943661971831,123.0,61.0,0.611
3766.0,38,38,False,accept,0111,0.115,0.605,142.0,130.0,1.305
3886.0,37,37,False,accept,0110,0.0625,0.5,64.0,89.0,0.894
