backbone,seed,harp_plus_regret,comparator_algorithm,comparator_name,comparator_regret,comparator_minus_harp_plus,primary_outcome,llm_psrl_regret,llm_psrl_minus_harp_plus,secondary_outcome
DeepSeek-V3.2,0,1.0000000000000053,econ_bne,ECON-BNE,1.0000000000000053,0.0,T,16.550000000000004,15.549999999999999,W
DeepSeek-V3.2,1,0.050000000000000266,econ_bne,ECON-BNE,1.5500000000000052,1.5000000000000049,W,4.650000000000003,4.600000000000003,W
DeepSeek-V3.2,2,0.9999999999999964,econ_bne,ECON-BNE,0.9999999999999964,0.0,T,14.000000000000004,13.000000000000007,W
DeepSeek-V3.2,3,0.0,econ_bne,ECON-BNE,10.300000000000011,10.300000000000011,W,12.600000000000016,12.600000000000016,W
DeepSeek-V3.2,4,0.04999999999999982,econ_bne,ECON-BNE,0.14999999999999947,0.09999999999999964,W,1.6499999999999995,1.5999999999999996,W
DeepSeek-V3.2,5,0.1499999999999999,econ_bne,ECON-BNE,3.2499999999999982,3.0999999999999983,W,35.94999999999999,35.79999999999999,W
DeepSeek-V3.2,6,0.0,econ_bne,ECON-BNE,0.6499999999999999,0.6499999999999999,W,55.09999999999998,55.09999999999998,W
DeepSeek-V3.2,7,1.0000000000000053,econ_bne,ECON-BNE,1.0000000000000053,0.0,T,16.550000000000004,15.549999999999999,W
DeepSeek-V3.2,8,0.2999999999999998,econ_bne,ECON-BNE,6.449999999999997,6.149999999999997,W,20.950000000000003,20.650000000000002,W
DeepSeek-V3.2,9,0.04999999999999982,econ_bne,ECON-BNE,0.14999999999999947,0.09999999999999964,W,4.699999999999991,4.6499999999999915,W
GPT-5.4-nano,0,0.1499999999999999,econ_bne,ECON-BNE,2.1999999999999886,2.0499999999999887,W,1.3999999999999968,1.249999999999997,W
GPT-5.4-nano,1,0.2200000000000002,econ_bne,ECON-BNE,4.800000000000004,4.580000000000004,W,2.0000000000000018,1.7800000000000016,W
GPT-5.4-nano,2,0.2699999999999996,econ_bne,ECON-BNE,4.799999999999997,4.529999999999998,W,5.3999999999999915,5.129999999999992,W
GPT-5.4-nano,3,0.3199999999999994,econ_bne,ECON-BNE,3.3999999999999897,3.0799999999999903,W,6.399999999999988,6.0799999999999885,W
GPT-5.4-nano,4,0.22999999999999998,econ_bne,ECON-BNE,6.199999999999994,5.9699999999999935,W,1.740000000000001,1.5100000000000011,W
GPT-5.4-nano,5,0.0,econ_bne,ECON-BNE,13.99999999999999,13.99999999999999,W,0.0,0.0,T
GPT-5.4-nano,6,0.0,econ_bne,ECON-BNE,13.200000000000003,13.200000000000003,W,0.0,0.0,T
GPT-5.4-nano,7,0.1499999999999999,econ_bne,ECON-BNE,2.1999999999999886,2.0499999999999887,W,1.3999999999999968,1.249999999999997,W
GPT-5.4-nano,8,0.0,econ_bne,ECON-BNE,10.399999999999995,10.399999999999995,W,0.0,0.0,T
GPT-5.4-nano,9,0.25,econ_bne,ECON-BNE,8.399999999999999,8.149999999999999,W,3.5900000000000007,3.3400000000000007,W
Kimi-K2.6,0,0.4200000000000004,econ_bne,ECON-BNE,0.4200000000000004,0.0,T,9.200000000000001,8.780000000000001,W
Kimi-K2.6,1,0.490000000000002,econ_bne,ECON-BNE,3.960000000000003,3.470000000000001,W,5.65,5.159999999999998,W
Kimi-K2.6,2,0.0,econ_bne,ECON-BNE,2.0000000000000018,2.0000000000000018,W,1.6999999999999997,1.6999999999999997,W
Kimi-K2.6,3,0.0,econ_bne,ECON-BNE,2.0000000000000018,2.0000000000000018,W,1.9000000000000001,1.9000000000000001,W
Kimi-K2.6,4,0.7899999999999998,econ_bne,ECON-BNE,14.650000000000004,13.860000000000005,W,13.200000000000003,12.410000000000004,W
Kimi-K2.6,5,0.20999999999999863,econ_bne,ECON-BNE,0.5999999999999961,0.38999999999999746,W,3.5099999999999967,3.299999999999998,W
Kimi-K2.6,6,0.2699999999999996,econ_bne,ECON-BNE,0.6699999999999995,0.3999999999999999,W,7.599999999999992,7.329999999999992,W
Kimi-K2.6,7,0.4200000000000004,econ_bne,ECON-BNE,0.4200000000000004,0.0,T,9.200000000000001,8.780000000000001,W
Kimi-K2.6,8,0.0,econ_bne,ECON-BNE,0.9999999999999964,0.9999999999999964,W,2.9499999999999993,2.9499999999999993,W
Kimi-K2.6,9,0.6499999999999999,econ_bne,ECON-BNE,3.849999999999999,3.1999999999999993,W,12.100000000000003,11.450000000000003,W
Llama-4-Maverick,0,0.0,atom_tom0,A-ToM-0,0.0,0.0,T,15.200000000000012,15.200000000000012,W
Llama-4-Maverick,1,0.9999999999999964,atom_tom0,A-ToM-0,0.9999999999999964,0.0,T,13.99999999999999,12.999999999999993,W
Llama-4-Maverick,2,0.0,atom_tom0,A-ToM-0,0.0,0.0,T,3.299999999999999,3.299999999999999,W
Llama-4-Maverick,3,0.0,atom_tom0,A-ToM-0,0.0,0.0,T,11.399999999999993,11.399999999999993,W
Llama-4-Maverick,4,0.14999999999999947,atom_tom0,A-ToM-0,0.9999999999999964,0.849999999999997,W,31.0,30.85,W
Llama-4-Maverick,5,0.0,atom_tom0,A-ToM-0,0.0,0.0,T,14.999999999999996,14.999999999999996,W
Llama-4-Maverick,6,0.0,atom_tom0,A-ToM-0,0.0,0.0,T,0.0,0.0,T
Llama-4-Maverick,7,0.0,atom_tom0,A-ToM-0,0.0,0.0,T,15.200000000000012,15.200000000000012,W
